Country Name;Country_Code;Series Name;Series Code;1990;1991;1992;1993 [YR1993];1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Sweden;SWE;Population, total;SP.POP.TOTL;8558835;8617375;8668067;8718561;8780745;8826939;8840998;8846062;8850974;8857874;8872109;8895960;8924958;8958229;8993531;9029572;9080505;9148092;9219637;9298515;9378126;9449213;9519374;9600379;9696110;9799186;9923085;10057698;10175214;10278887;10353442;10415811
United Kingdom;GBR;Population, total;SP.POP.TOTL;57247586;57424897;57580402;57718614;57865745;58019030;58166950;58316954;58487141;58682466;58892514;59119673;59370479;59647577;59987905;60401206;60846820;61322463;61806995;62276270;62766365;63258810;63700215;64128273;64602298;65116219;65611593;66058859;66460344;66836327;67081234;67026292
Bulgaria;BGR;Population, total;SP.POP.TOTL;8718289;8632367;8540164;8472313;8443591;8406067;8362826;8312068;8256786;8210624;8170172;8009142;7837161;7775327;7716860;7658972;7601022;7545338;7492561;7444443;7395599;7348328;7305888;7265115;7223938;7177991;7127822;7075947;7025037;6975761;6934015;6877743
Czechia;CZE;Population, total;SP.POP.TOTL;10333355;10308578;10319123;10329855;10333587;10327253;10315241;10304131;10294373;10283860;10255063;10216605;10196916;10193998;10197101;10211216;10238905;10298828;10384603;10443936;10474410;10496088;10510785;10514272;10525347;10546059;10566332;10594438;10629928;10671870;10697858;10505772
Greece;GRC;Population, total;SP.POP.TOTL;10196792;10319927;10399061;10460415;10512922;10562153;10608800;10661259;10720509;10761698;10805808;10862132;10902022;10928070;10955141;10987314;11020362;11048473;11077841;11107017;11121341;11104899;11045011;10965211;10892413;10820883;10775971;10754679;10732882;10721582;10698599;10569207
Italy;ITA;Population, total;SP.POP.TOTL;56719240;56758521;56797087;56831821;56843400;56844303;56860281;56890372;56906744;56916317;56942108;56974100;57059007;57313203;57685327;57969484;58143979;58438310;58826731;59095365;59277417;59379449;59539717;60233948;60789140;60730582;60627498;60536709;60421760;59729081;59438851;59133173
Lithuania;LTU;Population, total;SP.POP.TOTL;3697838;3704134;3700114;3682613;3657144;3629102;3601613;3575137;3549331;3524238;3499536;3470818;3443067;3415213;3377075;3322528;3269909;3231294;3198231;3162916;3097282;3028115;2987773;2957689;2932367;2904910;2868231;2828403;2801543;2794137;2794885;2800839
North Macedonia;MKD;Population, total;SP.POP.TOTL;2044174;2036686;2018023;1996893;1982458;1983964;1994226;1996869;2007523;2017142;2026350;2034882;2020157;2026773;2032544;2036855;2040228;2043559;2046898;2050671;2055004;2058539;2061044;2064032;2067471;2070226;2072490;2074502;2076217;2076694;2072531;2065092
Portugal;PRT;Population, total;SP.POP.TOTL;9983218;9960235;9952494;9964675;9991525;10026176;10063945;10108977;10160196;10217828;10289898;10362722;10419631;10458821;10483861;10503330;10522288;10542964;10558177;10568247;10573100;10557560;10514844;10457295;10401062;10358076;10325452;10300300;10283822;10286263;10297081;10361831
Slovenia;SVN;Population, total;SP.POP.TOTL;1998161;1999429;1996498;1991746;1989443;1989872;1988628;1985956;1981629;1983045;1988925;1992060;1994530;1995733;1997012;2000474;2006868;2018122;2021316;2039669;2048583;2052843;2057159;2059953;2061980;2063531;2065042;2066388;2073894;2088385;2102419;2108079
