OBJECTID;STORAGE_UNIT_NAME;ASSESS_UNIT_TYPE;STORAGE_TYPE;GROSS_THICK_MEAN;DEPTH_MEAN;PRESSURE_MEAN;TEMP_C_MEAN;PERM_MEAN;CO2_DENSIT;TOTAL_STORE_CAP;COUNTRYCODE;LONG;LAT;ONSHORE
44;Trigonodus Dolomite;Saline Aquifer without hydrocarbon fields;0;60;1500;150;75;30;675;551.7801;CH;7.987217726;47.29608852;1
181;Jesi 6 - Marche 1 SU;Saline Aquifer without hydrocarbon fields;0;200;1300;16;0;0;650;561.6;IT;13.260278;43.578611;1
177;S.Pietro in Casale 3 - Emilia 1 SU;Saline Aquifer without hydrocarbon fields;0;615;1253;98;0;0;610;649.9677416;IT;11.391944;44.716667;1
138;Sava Central;Saline Aquifer with hydrocarbon fields;1;1700;1850;185;97;90;450.41;684.2328745;HR;16.79361111;45.41305556;1
183;Pomarico 7 - Basilicata 1 SU;Saline Aquifer without hydrocarbon fields;0;200;1225;0;0;0;650;766.35;IT;16.489444;40.518889;1
182;Notaresco 1 - Abruzzi 1 SU;Saline Aquifer without hydrocarbon fields;0;281;1295;76;0;0;650;778.099959;IT;13.956944;42.650833;1
323;Danube basin Pontian SU;Saline Aquifer without hydrocarbon fields;0;120;1900;190;66.85;200;655;784.7424;SK;17.74805556;48.035;1
176;Poggio Rusco 1 - Lombardia 3 SU;Saline Aquifer without hydrocarbon fields;0;330;1165;0;0;0;620;824.9472;IT;11.176389;44.947222;1
46;Malm limestones;Saline Aquifer without hydrocarbon fields;0;500;1200;120;49;0.05;675;991.25775;CH;7.706434637;47.06283897;1
134;Grevena;Saline Aquifer without hydrocarbon fields;0;300;1100;120;50;50;584.71;1528.724295;GR;21.14888889;40.29611111;1
135;Drava;Saline Aquifer with hydrocarbon fields;1;1000;1400;140;82;90;373;2271.403296;HR;17.7225;45.80416667;1
133;Thessaloniki Basin;Saline Aquifer with hydrocarbon fields;1;100;1800;180;60;100;705.44;2698.308;GR;22.61583333;40.56;1
78;Bunter Sand Stone unit 1;Saline Aquifer without hydrocarbon fields;0;200;1600;16;50;300;629;6210.400302;DK;11.4;54.7;1
79;Gassum Formation unit 1;Saline Aquifer without hydrocarbon fields;0;150;1523;16;51;385;628;9072.13824;DK;10.0018;56.56119;1
201;Deimena Formation Sandstone;Saline Aquifer with hydrocarbon fields;1;50;1000;100;21.5;300;700;13552;LV;22.33267;56.60013;1
232;Mogilenska;Saline Aquifer without hydrocarbon fields;0;160;1135;113.5;50;0;531.4;25213.35706;PL;18.29055556;52.56361111;1
233;Borucicka;Saline Aquifer without hydrocarbon fields;0;100;1650;165;65;0;595.9;39663.34236;PL;18.22666667;52.46638889;1
234;Komorowska;Saline Aquifer without hydrocarbon fields;0;100;1700;170;65;0;609.5;40568.5638;PL;18.58166667;52.45333333;1
235;Baltycka;Saline Aquifer without hydrocarbon fields;0;200;4000;400;90;0;789.7;93202.28928;PL;18.80694444;52.62;1
