OID_,x1,y1,x2,y2,Shape_Length
1,19.435700000000001,52.068500000000000,23.946000000000002,55.294400000000003,5.547396408347402
2,10.426200000000000,51.082999999999998,13.797800000000001,47.631900000000002,4.826141515939768
3,19.435700000000001,52.068500000000000,19.581000000000000,48.698099999999997,3.373535820880464
4,21.710000000000001,41.594000000000001,17.834700000000002,44.144199999999998,4.639858474300659
5,14.890599999999999,46.137599999999999,13.797800000000001,47.631900000000002,1.851323833258963
6,2.194000000000000,46.642400000000002,4.675000000000000,50.618200000000002,4.687557657707942
7,19.396200000000000,47.225299999999997,20.856800000000000,44.026800000000001,3.516515469614961
8,20.856800000000000,44.026800000000001,25.094200000000001,45.824500000000000,4.603523861053672
11,17.062400000000000,62.734200000000001,10.950500000000000,63.978700000000003,6.238191387969239
12,-3.703800000000000,40.416800000000002,-7.933700000000000,39.675300000000000,4.294674619260176
13,-3.703800000000000,40.416800000000002,2.194000000000000,46.642400000000002,8.581513054422444
15,19.396200000000000,47.225299999999997,17.834700000000002,44.144199999999998,3.454516649062775
16,15.383300000000000,49.749200000000002,19.581000000000000,48.698099999999997,4.327649562760510
19,8.286899999999999,46.736800000000002,13.797800000000001,47.631900000000002,5.583754012145923
22,20.856800000000000,44.026800000000001,25.251700000000000,42.820399999999999,4.557872335621846
24,14.890599999999999,46.137599999999999,19.396200000000000,47.225299999999997,4.635448204479768
25,14.890599999999999,46.137599999999999,15.502400000000000,44.911900000000003,1.369924565882668
26,23.946000000000002,55.294400000000003,24.693700000000000,56.813899999999997,1.693572251895737
27,5.554100000000000,52.134099999999997,4.675000000000000,50.618200000000002,1.752429843621929
28,20.856800000000000,44.026800000000001,17.834700000000002,44.144199999999998,3.024468422029374
32,10.426200000000000,51.082999999999998,15.383300000000000,49.749200000000002,5.134027671909339
34,14.890599999999999,46.137599999999999,15.383300000000000,49.749200000000002,3.645106452936527
35,25.094200000000001,45.824500000000000,19.581000000000000,48.698099999999997,6.218909578924759
36,23.946000000000002,55.294400000000003,19.581000000000000,48.698099999999997,7.916932845712495
38,6.103200000000000,49.775199999999998,4.675000000000000,50.618200000000002,1.658476078823945
39,23.946000000000002,55.294400000000003,25.094200000000001,45.824500000000000,9.540196320025030
40,8.286899999999999,46.736800000000002,12.763700000000000,42.981999999999999,5.844825792141996
43,6.103200000000000,49.775199999999998,10.426200000000000,51.082999999999998,4.516947438117469
44,6.103200000000000,49.775199999999998,2.194000000000000,46.642400000000002,5.010972240064821
49,13.797800000000001,47.631900000000002,15.383300000000000,49.749200000000002,2.645367548053696
53,24.693700000000000,56.813899999999997,25.916899999999998,58.648099999999999,2.204884089399821
54,25.094200000000001,45.824500000000000,25.251700000000000,42.820399999999999,3.008229516069651
56,19.396200000000000,47.225299999999997,15.502400000000000,44.911900000000003,4.529909724585009
58,8.286899999999999,46.736800000000002,2.194000000000000,46.642400000000002,6.094352910334744
59,8.286899999999999,46.736800000000002,10.426200000000000,51.082999999999998,4.845246045584807
67,10.426200000000000,51.082999999999998,5.554100000000000,52.134099999999997,4.984695107572341
72,15.502400000000000,44.911900000000003,17.834700000000002,44.144199999999998,2.455470063149053
74,6.103200000000000,49.775199999999998,5.554100000000000,52.134099999999997,2.422018151199060
77,19.396200000000000,47.225299999999997,15.383300000000000,49.749200000000002,4.741581388817924
79,19.396200000000000,47.225299999999997,19.581000000000000,48.698099999999997,1.484351739078381
81,19.396200000000000,47.225299999999997,25.094200000000001,45.824500000000000,5.868511087645695
83,6.103200000000000,49.775199999999998,8.286899999999999,46.736800000000002,3.742330564621228
85,2.194000000000000,46.642400000000002,12.763700000000000,42.981999999999999,11.192524262530823
87,21.710000000000001,41.594000000000001,25.251700000000000,42.820399999999999,3.748270515213246
88,21.710000000000001,41.594000000000001,20.856800000000000,44.026800000000001,2.578143616150609
89,10.426200000000000,51.082999999999998,9.378700000000000,56.001199999999997,5.028994347410806
90,19.435700000000001,52.068500000000000,15.383300000000000,49.749200000000002,4.670095523712249
93,17.062431990000000,62.734209860000000,25.657384329999999,65.015789600000005,11.279639041321630
94,10.426171430000000,51.083045400000003,23.946021609999999,55.294373929999999,14.159049762316982
95,10.426171430000000,51.083045400000003,19.435732789999999,52.068480559999998,9.038046811318059
96,8.286928795000000,46.736781290000003,14.890636900000001,46.137592300000001,6.646628374519487
97,23.110368940000001,39.420122620000001,21.709989239999999,41.594028899999998,2.725673632795159
