OBJECTID;STORAGE_UNIT_NAME;ASSESS_UNIT_TYPE;STORAGE_TYPE;GROSS_THICK_MEAN;DEPTH_MEAN;PRESSURE_MEAN;TEMP_C_MEAN;PERM_MEAN;CO2_DENSIT;TOTAL_STORE_CAP;COUNTRYCODE;LONG;LAT;ONSHORE
187;Biddusa 2 - Sicilia 1 SU;Saline Aquifer without hydrocarbon fields;0;185;1145;0;0;0;640;70.5043584;IT;12.508333;37.772778;1
202;Priabonian sandstone Ergelija;Saline Aquifer without hydrocarbon fields;0;830;761;80;65;10;182;72.5088;MK;22.06888889;41.85361111;1
481;Brora Coal Formation;Saline Aquifer without hydrocarbon fields;0;50;2000;200;78;20;600;76.86;GB;3.173830197;58.04728858;0
525;Skagerrak Unit 3;Saline Aquifer without hydrocarbon fields;0;400;3250;348;122;10;700;79.016;GB;-0.189424745;57.71737165;0
326;Bzovík Mezozoic SU;Saline Aquifer without hydrocarbon fields;0;200;1700;170;60.85;300;630;79.38;SK;19.08527778;48.32472222;1
184;Licia 1 - Calabria 1 SU;Saline Aquifer without hydrocarbon fields;0;301;1300;0;0;0;650;79.5657681;IT;16.581111;39.665556;0
200;Cambrian Sandstone;Saline Aquifer with hydrocarbon fields;1;60;1500;150;60;100;610;89.4361489;;20.72416667;56.04083333;1
490;Orrin Formation;Saline Aquifer without hydrocarbon fields;0;50;2500;275;100;50;700;88.4646;GB;-3.069787515;58.11731044;0
498;Argyll Carbonate Member;Saline Aquifer with hydrocarbon fields;1;20;2000;214;78;10;735;110.8974;GB;2.589333294;55.61560804;0
503;Nansen Unit 1;Saline Aquifer without hydrocarbon fields;0;50;3500;368;130;50;700;102.5325;GB;1.683194948;59.57500693;0
483;Buchan Formation Unit;Saline Aquifer with hydrocarbon fields;1;500;2500;300;95;1;700;105;GB;1.146944444;57.61333333;0
174;Casirate 1 - Lombardia 1 SU;Saline Aquifer without hydrocarbon fields;0;193;1185;6;0;0;650;105.98016;IT;9.563056;45.489722;1
49;Zatec;Saline Aquifer without hydrocarbon fields;0;183;1100;110;40;10;781;112.2345734;;13.45611111;50.28444444;1
51;Mnichovo Hradiste;Saline Aquifer without hydrocarbon fields;0;131;1000;100;44;18;683;114.6041762;CZ;14.90833333;50.4075;1
31;Hainaut Geothermal aquifer SU;Saline Aquifer without hydrocarbon fields;0;1500;1600;161;66;12.5;576;121.5;BE;3.366663;50.131606;1
478;Brae Formation Unit 1;Saline Aquifer with hydrocarbon fields;1;200;3500;491;123;100;700;487.3666;GB;1.402289002;58.73056033;0
324;TransCaarpathian basin Sarmathian SU;Saline Aquifer with hydrocarbon fields;1;130;1100;110;42.85;150;645;169.0416;SK;24.65666667;46.41472222;1
136;Osijek;Saline Aquifer without hydrocarbon fields;0;2500;2250;225;132;90;418;180.3262741;HR;18.64888889;45.46722222;1
186;Fosca 1 - Calabria mare 2 SU;Saline Aquifer without hydrocarbon fields;0;670;1240;0;0;0;650;186.7437936;IT;16.896944;38.438889;0
466;Westcoe Coal Unit;Saline Aquifer with hydrocarbon fields;1;200;3000;321;113;5;700;246.109;GB;1.949268322;53.41221503;0
480;Britannia Sandstone Formation;Saline Aquifer with hydrocarbon fields;1;100;3500;400;125;30;700;193.2525;GB;0.958721235;57.98727857;0
50;Roudnice;Saline Aquifer without hydrocarbon fields;0;184;1130;115;48;8;688;200.157143;CZ;14.2575;50.39444444;1
185;Lara 1 - Calabria mare 1 SU;Saline Aquifer without hydrocarbon fields;0;557;1062.5;0;0;0;610;205.7297836;IT;17.170833;39.213333;0
528;Skagerrak Unit 6;Saline Aquifer without hydrocarbon fields;0;400;3250;348;122;10;700;206.108;GB;0.464189355;57.11599256;0
474;Alness Spiculite Member;Saline Aquifer without hydrocarbon fields;0;40;2500;257;87;0.5;625;209.125;GB;2.240291651;58.19647436;0
450;Teal Sandstone Member;Saline Aquifer without hydrocarbon fields;0;65;2000;210;78;500;700;221.2938;GB;1.861466883;59.98601885;0
325;TransCarpathian basin Pannonian SU;Saline Aquifer without hydrocarbon fields;0;120;750;75;31.8;150;615;223.1712;SK;21.9575;48.59888889;1
489;Orcadia Formation Unit;Saline Aquifer without hydrocarbon fields;0;1000;2000;205;94;0.1;700;228.305;GB;-1.116831039;58.5480616;0
526;Skagerrak Unit 4;Saline Aquifer without hydrocarbon fields;0;400;3250;348;122;10;700;233.24;GB;-0.266142;58.5050536;0
180;Serena Nord 1 - Emilia mare SU;Saline Aquifer without hydrocarbon fields;0;800;1325;140;45.85;6.7;650;234;IT;12.959167;44.11;0
496;Statfjord  Unit 2;Saline Aquifer with hydrocarbon fields;1;80;3800;400;141;450;700;254.43264;GB;1.700832542;60.87246079;0
43;Hauptrogenstein;Saline Aquifer without hydrocarbon fields;0;100;1500;150;58;0.25;675;267.0089063;CH;7.409306731;47.06715917;1
527;Skagerrak Unit 5;Saline Aquifer without hydrocarbon fields;0;400;3250;348;122;10;700;277.508;GB;1.032828881;56.75116877;0
137;Sava West;Saline Aquifer with hydrocarbon fields;1;1500;1550;155;88;90;400.89;318.5270633;HR;16.3025;45.66361111;1
443;Tay Sandstone Member;Saline Aquifer without hydrocarbon fields;0;75;2200;227;85;400;700;339.066;GB;0.931109112;57.23100116;0
455;Ormskirk Sandstone Unit 3;Saline Aquifer without hydrocarbon fields;0;200;860.21;92;29.63;100;725;339.416;GB;-4.015058343;54.61267194;0
441;Frigg Sandstone Member;Saline Aquifer without hydrocarbon fields;0;55;1850;198;61;1500;714;370.4386224;GB;1.787312393;60.26116908;0
445;Cromarty Sandstone member;Saline Aquifer without hydrocarbon fields;0;75;1400;140;56;500;600;372.1788;GB;0.48367111;57.65877357;0
